metric,n,method,group,n_datasets,mean_before,mean_after,mean_delta,median_delta,win_rate
PIT_KS,1000,LinGauss-Hetero-Ridge,baseline,39,0.2130254371550337,0.15040073244630373,-0.06262470470872995,-0.04445173629978605,0.9487179487179487
PIT_KS,1000,LinGauss-Homo-Ridge,baseline,39,0.18346140627601998,0.08476574002291963,-0.09869566625310035,-0.06410788938152168,0.9230769230769231
PIT_KS,1000,LinearGauss-Hetero,baseline,39,0.19289910386178358,0.13387761259905118,-0.059021491262732435,-0.04724283822728159,0.9487179487179487
PIT_KS,1000,LinearGauss-Homo,baseline,39,0.18443133848279983,0.08221872022910258,-0.10221261825369725,-0.06958982165496833,0.9230769230769231
PIT_KS,1000,LogNormal-Hetero,baseline,39,0.13112514010199897,0.07508438414885224,-0.05604075595314672,-0.05539704601143891,1.0
PIT_KS,1000,LogNormal-Hetero-Ridge,baseline,39,0.15270955376754575,0.09449122207216966,-0.0582183316953761,-0.05234595081420168,1.0
PIT_KS,1000,LogNormal-Homo,baseline,39,0.1594609194679812,0.05312407286446449,-0.10633684660351668,-0.08688979672097297,1.0
PIT_KS,1000,LogNormal-Homo-Ridge,baseline,39,0.15535023985636295,0.05652999086615356,-0.0988202489902094,-0.06891214758899916,1.0
PIT_KS,1000,MDN,baseline,39,0.09020765368030269,0.04831824022697595,-0.041889413453326745,-0.04241957676893021,1.0
PIT_KS,1000,Quantile-Tree,baseline,39,0.09776836302701361,0.05575184422100007,-0.04201651880601355,-0.029716867000486535,0.9487179487179487
PIT_KS,1000,Student-t,baseline,39,0.15152686925279835,0.08189561548245387,-0.06963125377034449,-0.06218039827392784,0.8974358974358975
PIT_KS,1000,Student-t-Ridge,baseline,39,0.1390245576622828,0.06473930166936329,-0.0742852559929195,-0.06602013631811485,0.9743589743589743
PIT_KS,1000,RealTabPFN-2.5,foundation,39,0.11081298215669391,0.07050428530642754,-0.04030869685026637,-0.03753895138957558,0.9487179487179487
PIT_KS,1000,TabICL-Quantiles,foundation,39,0.10044603632553946,0.07542482403481778,-0.025021212290721677,-0.022816260930670573,0.8461538461538461
PIT_KS,1000,TabPFN-2.5,foundation,39,0.10637334062111578,0.06831061477784066,-0.038062725843275115,-0.03822434289839871,0.9743589743589743
PIT_KS,5000,BART-Hetero,baseline,34,0.3156022233066692,0.06433652854386637,-0.25126569476280286,-0.15770181106190523,1.0
PIT_KS,5000,BART-Homo,baseline,34,0.22390674454670445,0.054326586039667835,-0.16958015850703664,-0.14923087235727184,1.0
PIT_KS,5000,CatMLP,baseline,34,0.08801292480788477,0.03453167256577289,-0.05348125224211187,-0.04232256103164188,1.0
PIT_KS,5000,FlexCode-RF,baseline,34,0.17506613062912055,0.029631799941226576,-0.145434330687894,-0.14529694631535417,0.9705882352941176
PIT_KS,5000,Flow-Spline,baseline,34,0.10233279711411546,0.03926295829257177,-0.06306983882154368,-0.05182299500366134,0.9705882352941176
PIT_KS,5000,Gamma-GLM,baseline,34,0.15079345653415133,0.02820169396164797,-0.12259176257250337,-0.1003393215699348,1.0
PIT_KS,5000,Gamma-GLM-Ridge,baseline,34,0.1422113838959939,0.027478276811855162,-0.11473310708413872,-0.07712412982536607,1.0
PIT_KS,5000,LinGauss-Hetero-Ridge,baseline,34,0.22234158281227287,0.13926834005026478,-0.0830732427620081,-0.06484203492778043,0.9411764705882353
PIT_KS,5000,LinGauss-Homo-Ridge,baseline,34,0.18265361162061278,0.06816683191406156,-0.1144867797065512,-0.09109794060069165,0.9411764705882353
PIT_KS,5000,LinearGauss-Hetero,baseline,34,0.16964668518645673,0.09715134780644362,-0.0724953373800131,-0.05804851645809128,0.9411764705882353
PIT_KS,5000,LinearGauss-Homo,baseline,34,0.18505439193519943,0.06789489979920818,-0.11715949213599124,-0.0912418877791974,0.9411764705882353
PIT_KS,5000,LogNormal-Hetero,baseline,34,0.10339261321061871,0.03488985466981509,-0.06850275854080363,-0.06051141015700748,1.0
PIT_KS,5000,LogNormal-Hetero-Ridge,baseline,34,0.1270095039757944,0.04061924393224463,-0.0863902600435498,-0.06102910575810638,1.0
PIT_KS,5000,LogNormal-Homo,baseline,34,0.14933909243167143,0.02401924111068747,-0.12531985132098394,-0.100554951946827,1.0
PIT_KS,5000,LogNormal-Homo-Ridge,baseline,34,0.14412156232807602,0.02367657225290163,-0.12044499007517437,-0.09175842941365836,1.0
PIT_KS,5000,MDN,baseline,34,0.07651822261696883,0.042338157081956374,-0.03418006553501246,-0.02953156846792493,0.9705882352941176
PIT_KS,5000,Quantile-Tree,baseline,34,0.08432811342618855,0.04901581979061957,-0.03531229363556899,-0.025474589229812744,1.0
